Title	Abstract	Keywords
Where Water Wells Up From the Earth: Excavations at the Findspot of the Late Bronze Age Broadward Hoard, Shropshire	The paper begins by considering the importance of springs as a focus for votive deposits in Bronze Age Britain. This is not a new idea, but nowhere has this association been examined by excavation of one of these features. There are important lesson to be learned from such work in Scandinavia. The point is illustrated by excavation at the findspot of a famous group of Late Bronze Age weapons, the Broadward hoard, discovered in 1867. Little was known about the site where it was found or the character of the original deposit, but a study of contemporary accounts of the hoard, combined with geophysical and topographical surveys, led to small-scale excavation which showed that the deposit had most probably been buried in a pit on the edge of a spring. Other finds associated with the spring included an Early Bronze Age macehead, a Roman pot, and a variety of animal bones dating from the Saxon and medieval periods. The latest, which has a radiocarbon date in the post-medieval phase, included a wooden knife or dagger. An adjacent palaeochannel provided an important environmental sequence for this part of the English–Welsh borderland and suggests that the Late Bronze Age hoard had been deposited not far from a settlement. A nearby earthwork enclosure was associated with a clay weight which may be of similar date. Despite the limited scale of the fieldwork undertaken in 2010, it illustrates the potential of treating springs associated with finds of artefacts on the same terms as other archaeological deposits.	water
Characteristics and Trends of Selected Pollen Seasons Recorded in Parma (Northern Italy) from 1994 to 2011	This study examines variations in the start date, end date, duration, date of peak, peak value and Seasonal Pollen Index (SPI) of airborne pollen seasons recorded in Parma, Northern Italy, in relation to meteorological data (1994–2011). Pollen data were collected in the city of Parma by volumetric spore trap. The following taxa were analysed: Alnus, Ambrosia, Artemisia, Betula, Amaranthaceae, Corylus, Cupressaceae, Plantago, Platanus, Poaceae and Urticaceae. Spearman’s rank correlation tests were used to establish whether significant relationships existed between the different characteristics of the pollen seasons. Simple linear regression analysis was also carried out in order to investigate trends over time. Only 12 % of the 66 characteristics examined showed significant changes over the study period. Temperatures increased significantly during the spring, but this did not appear to have a corresponding impact on seasonal characteristics related to the timing of pollen seasons (i.e. start date, peak date and end date). All of the observed changes were associated with characteristics that can be related to exposure (i.e. duration, peak value and SPI). For arboreal taxa, the SPI of Betula decreased significantly, and Platanus pollen seasons became significantly shorter. For herbaceous species, the SPI and peak values of Artemisia became significantly lower, whereas the SPI and peak values of Ambrosia became significantly higher. The SPI of Poaceae and Urticaceae also decreased significantly. The results of correlation analysis showed that various characteristics of pollen seasons are significantly related. This study provides an essential baseline for determining exposure of the allergic population to allergenic pollen and aids understanding of the incidence of pollinosis in Parma. Gaps still exist in current knowledge; not least, the need to quantify the degree of influence exerted by some of the principal factors driving environmental change, climate and land use.	land
The WI's Rural Retailing and Markets 1915–1939: a First World War Legacy	The Women's Institute Movement was set up under the auspices of the Agricultural Organisation Society in 1915 to improve the food supply during the Great War. The Women's Institutes encouraged food saving and preservation. This article draws attention to the rural retailing opportunities and markets that were established by the WI in wartime and continued to develop in the inter-war period, assisted by grants from the Carnegie Trust in the 1930s. The WI established sales tables, depots and markets that enabled smallholders, cottage gardeners and allotment holders to find financially non-exploitative retail opportunities for their produce. Initially this produce came from their gardens, allotments and smallholdings, but in time preserves, baking craftwork, jam, cakes, toys, knitted toys and garments and even a wedding trousseau were ordered or sold through these various WI retail outlets. The markets were not restricted to WI members and often sold work produced by small­holders, the disabled and ex-servicemen. Furthermore they were seen as an example of co-operative marketing that could prove useful in preventing food waste and helping rural households to survive in wartime and later during the economic crisis of the 1930s. This article suggests that these retail opportunities were of significance to rural women as a chance to earn much needed cash and in placing a value on domestic labour. They, like the WI, were a legacy of the First World War.	women
Using Part-time Working to Support Graduate Employment: Needs and Perceptions of Employers	An exploration of the value attached to the work experience of graduates, and particularly the value of part-time working whilst studying for a degree, from an employer’s perspective, is reported. A documentary analysis of graduate recruiters was conducted to assess the extent to  which work experience was specified for graduate employment  programmes. Further interviews were then carried out with a sample of small and medium-sized enterprises (SMEs) to explore how the part-time working of graduates is perceived by employers. Work experience is deemed to be important to employers, not only as a differentiator but also as a measure of how graduates will perform in-post. Employers generally signalled the value of work experience, but indicated that graduates did not make best use of it in their job applications. It is argued that the findings will provide information to universities and educators about the  contribution and importance of students’ part-time working in terms of graduate employment prospects and with respect to the employability agenda in the HE curriculum in the UK.	employment
Ragweed (Ambrosia) Pollen Source Inventory for Austria	This study improves the spatial coverage of top-down Ambrosia pollen source inventories for Europe by expanding the methodology to Austria, a country that is challenging in terms of topography and the distribution of ragweed plants. The inventory combines annual ragweed pollen counts from 19 pollen-monitoring stations in Austria (2004–2013), 657 geographical observations of Ambrosia plants, a Digital Elevation Model (DEM), local knowledge of ragweed ecology and CORINE land cover information from the source area. The highest mean annual ragweed pollen concentrations were generally recorded in the East of Austria where the highest densities of possible growth habitats for Ambrosia were situated. Approximately 99% of all observations of Ambrosia populations were below 745 m. The European infection level varies from 0.1% at Freistadt in Northern Austria to 12.8% at Rosalia in Eastern Austria. More top-down Ambrosia pollen source inventories are required for other parts of Europe.	land
Developing Palliative Care Globally: Facing the Challenge	While at the 20th International  Congress on Palliative Care in  Montreal, Canada last September, it  became apparent to all delegates that palliative  care and its important role in caring for people  with life-limiting and threatening conditions was  not recognised globally. On close scrutiny of the  United Nations (UN) Millennium Sustainable  Development Goals for 2015-2030, it became  clear that palliative care was an obvious omission.  This seemed odd considering that HIV/  AIDS, sexual abuse, child mortality, and poverty  (to name just a few) all featured prominently in  the goals. The other oddity was that the UK, well  known as the birthplace of modern palliative  care, was one of three countries charged or  tasked by the UN to spearhead the nature and  scope of the millennium goals.	poverty,sustainable
Enhancing the Employability of Humanities Postgraduates: a Students as Academic Partners Project Report	In an increasingly competitive employment market, postgraduates need to demonstrate more than the ‘skills,   knowledge, attitudes and experiences that are closely   associated with the research process’ (Golovushkina &   Milligan, 2013: 199). Yet results indicate that Worcester   postgraduate students remain unaware of the full range of   opportunities that exist alongside postgraduate study, and   how this affects their subsequent employability. This   research, undertaken with humanities post-graduate   students at University of Worcester, aims to contribute to   discussions about how to enhance the employability of   humanities postgraduates through extra-curricular   activities. The project was implemented as a Students  -As-Partners-in-Learning-Project, using action research; the issue was identified, base-line data collected and this resulted in the creation of a postgraduate blog incorporating suggestions of possible opportunitie  s and links to relevant websites for further information. Informed by this research, the student partners then took active roles in the organization of the Women’s History Network National Conference, ‘Home Fronts: Gender, War and Conflict’, hosted at the University of Worcester in September 2014, to broaden their existing skills base and then to connect this involvement to their professional development through a group CV review. The participants’ own experiences of wider engagement can therefore illuminat  e new ways for understanding employability in relation to humanities postgraduate students.	employment,women
Accelerometer Validation of Questionnaires Used in Clinical Settings to Assess MVPA	Introduction The exercise vital sign (EVS) and General Practice Physical Activity Questionnaire (GPPAQ) are questionnaires designed for clinical settings to identify individuals who are not meeting physical activity (PA) guidelines in the United States and United Kingdom, respectively. To date, neither has been objectively validated.    Methods Subjects (N = 76) from the United States (n = 38; age, 49 ± 20 yr) and United Kingdom (n = 38; age, 43 ± 21 yr) completed a health history questionnaire, wore an accelerometer for 7 d, and then completed the EVS and GPPAQ. Accelerometry, EVS, and GPPAQ data were scored to dichotomize subjects into groups of meeting (≥150 min of moderate-to-vigorous PA (MVPA) per week) or not meeting (<150 min of MVPA per week) the PA guidelines, and accelerometry was used as a criterion measure for comparing both questionnaires. The sensitivity and specificity of the EVS and GPPAQ were calculated to represent the ability of the questionnaires to identify subjects who did not and did meet the PA guidelines. Total MVPA accumulated in ≥10-min bouts were compared between accelerometry and the EVS using a 2 × 2 × 2 repeated measures ANOVA with one within-subjects effect (PA assessment method) and two between-subjects effects (gender and country). The alpha level was P = 0.05 for all analyses.    Results The EVS had marginally better sensitivity (59% vs 46%) and specificity (77% vs 50%) than the GPPAQ. The EVS grossly overestimated the minutes of MVPA when compared to accelerometry (P < 0.05) for all subjects, except UK women.    Conclusion In practice, the EVS and GPPAQ may not identify ∼50% of patients who should be advised to increase their PA. Therefore, physicians should advocate that all of their patients adopt an active lifestyle, including the achievement of ≥150 min of MVPA per week.	women
Biological Flora of the British Isles: Ambrosia Artemisiifolia	This account presents information on all aspects of the biology of Ambrosia artemisiifolia L. (Common ragweed) that are relevant to understanding its ecology. The main topics are presented within the standard framework of the Biological Flora of the British Isles: distribution, habitat, communities, responses to biotic factors, responses to environment, structure and physiology, phenology, floral and seed characters, herbivores and disease, and history, conservation, impacts and management.    Ambrosia artemisiifolia is a monoecious, wind-pollinated, annual herb native to North America whose height varies from 10 cm to 2.5 m, according to environmental conditions. It has erect, branched stems and pinnately lobed leaves. Spike-like racemes of male capitula composed of staminate (male) florets terminate the stems, while cyme-like clusters of pistillate (female) florets are arranged in groups in the axils of main and lateral stem leaves.    Seeds require prolonged chilling to break dormancy. Following seedling emergence in spring, the rate of vegetative growth depends on temperature, but development occurs over a wide thermal range. In temperate European climates, male and female flowers are produced from summer to early autumn (July to October).  Ambrosia artemisiifolia is sensitive to freezing. Late spring frosts kill seedlings and the first autumn frosts terminate the growing season. It has a preference for dry soils of intermediate to rich nutrient level.    Ambrosia artemisiifolia was introduced into Europe with seed imports from North America in the 19th century. Since World War II, it has become widespread in temperate regions of Europe and is now abundant in open, disturbed habitats as a ruderal and agricultural weed.    Recently, the North American ragweed leaf beetle (Ophraella communa) has been detected in southern Switzerland and northern Italy. This species appears to have the capacity to substantially reduce growth and seed production of A. artemisiifolia.    In heavily infested regions of Europe, A. artemisiifolia causes substantial crop-yield losses and its copious, highly allergenic pollen creates considerable public health problems. There is a consensus among models that climate change will allow its northward and uphill spread in Europe.	climate change
Introduction to the Transforming Dementia Care in Hospitals Series	A short series of articles in Nursing Older People, starting in September, presents case study examples of the positive work achieved by trusts that participated in the RCN’s development programme to improve dementia care in acute hospitals. This introductory article reports on the independent evaluation of the programme. The programme included a launch event, development days, site visits, ongoing support by the RCN lead and carer representatives and a conference to showcase service improvements. The evaluation drew on data from a survey, the site visits, trust action plans and a range of self-assessment tools for dementia care. The findings highlight substantial progress towards programme objectives and learning outcomes and suggest that the programme provided the focus, impetus and structure for trusts to make sustainable changes. It also equipped participants with the strategies and confidence to change practice. Recommendations are made for taking the programme forward.	sustainable
Understanding Emissions of Ammonia From Buildings and the  Application of Fertilizers: an Example From Poland	A Europe-wide dynamic ammonia (NH3) emissions model has been applied for one of the large agricultural countries in Europe, and its sensitivity on the distribution of emissions among different agricultural functions was analyzed by comparing with observed ammonia concentrations and by implementing all scenarios in a chemical transport model (CTM). The results suggest that the dynamic emission model is most sensitive to emissions from animal manure, in particular how animal manure and its application on fields is connected to national regulations. To incorporate the national regulations, we obtained activity information on agricultural operations at the sub-national level for Poland, information about infrastructure on storages and current regulations on manure practice from Polish authorities. The information was implemented in the existing emission model and was connected directly with calculations from the Weather Research and Forecasting model (WRF). The model was used to calculate four emission scenarios with high spatial (5 km × 5 km) and temporal resolution (3 h) for the entire year 2010. In the four scenarios, we have compared a constant emission approach (FLAT), scenario (1) against (2) a dynamic approach based on the Europe-wide default settings (Skjøth et al., 2011, scenario DEFAULT); (3) a dynamic approach that takes into account Polish practice and less regulation compared to Denmark (POLREGUL); (4) a scenario that focuses on emissions from agricultural buildings (NOFERT). The ammonia emission was implemented into the chemical transport model FRAME (Fine Resolution Atmospheric Multi-pollutant Exchange) and modelled ammonia concentrations were compared with measurements. The results for an agricultural area suggest that the default setting in the dynamic model is an improvement compared to a non-dynamical emission profile. The results also show that further improvements can be obtained at a national scale by replacing the default information on manure practice with information that is connected with local practice and national regulations. Implementing a dynamical approach for simulation of ammonia emission is a reliable but challenging objective for CTM models that continue to use fixed emission profiles.	infrastructure
A Nutrition and Conditioning Intervention for Natural Bodybuilding Contest Preparation: Case Study.	Bodybuilding competitions are becoming increasingly popular. Competitors are judged on their aesthetic  appearance and usually exhibit a high level of muscularity and symmetry and low levels of body fat. Commonly used techniques to improve physique during the preparation phase before competitions include dehydration, periods of prolonged fasting, severe caloric restriction, excessive cardiovascular exercise and inappropriate use of diuretics and anabolic steroids. In contrast, this case study documents a structured nutrition and conditioning  intervention followed by a 21 year-old amateur bodybuilding competitor to improve body composition, resting and  exercise fat oxidation, and muscular strength that does not involve use of any of the above mentioned methods.  Over a 14-week period, the Athlete was provided with a scientifically designed nutrition and conditioning plan that  encouraged him to (i) consume a variety of foods; (ii) not neglect any macronutrient groups; (iii) exercise regularly  but not excessively and; (iv) incorporate rest days into his conditioning regime. This strategy resulted in a body  mass loss of 11.7 kg’s, corresponding to a 6.7 kg reduction in fat mass and a 5.0 kg reduction in fat-free mass.  Resting metabolic rate decreased from 1993 kcal/d to 1814 kcal/d, whereas resting fat oxidation increased from  0.04 g/min to 0.06 g/min. His capacity to oxidize fat during exercise increased more than two-fold from 0.24 g/min  to 0.59 g/min, while there was a near 3-fold increase in the corresponding exercise intensity that elicited the  maximal rate of fat oxidation; 21% V̇  O2max to 60% V̇ O2max. Hamstring concentric peak torque decreased (1.7 to 1.5 Nm/kg), whereas hamstring eccentric (2.0 Nm/kg to 2.9 Nm/kg), quadriceps concentric (3.4 Nm/kg to 3.7 Nm/kg) and quadriceps eccentric (4.9 Nm/kg to 5.7 Nm/kg) peak torque all increased. Psychological mood-state (BRUMS scale) was not negatively influenced by the intervention and all values relating to the Athlete’s mood-state remained below average over the course of study. This intervention shows that a structured and scientifically supported nutrition strategy can be implemented to improve parameters relevant to bodybuilding competition and importantly the health of competitors, therefore questioning the conventional practices of bodybuilding preparation.	nutrition
The Top 10 Oomycete Pathogens in Molecular Plant Pathology	Oomycetes form a deep lineage of eukaryotic organisms that includes a large number of plant pathogens that threaten natural and managed ecosystems. We undertook a survey to query the community for their ranking of plant pathogenic oomycete species based on scientific and economic importance. In total, we received 263 votes from 62 scientists in 15 countries for a total of 33 species. The Top 10 species and their ranking are: (1) Phytophthora infestans; (2, tied) Hyaloperonospora arabidopsidis; (2, tied) Phytophthora ramorum; (4) Phytophthora sojae; (5) Phytophthora capsici; (6) Plasmopara viticola; (7) Phytophthora cinnamomi; (8, tied) Phytophthora parasitica; (8, tied) Pythium ultimum; and (10) Albugo candida. The article provides an introduction to these 10 taxa and a snapshot of current research. We hope that the list will serve as a benchmark for future trends in oomycete research.	ecosystems
Transition From Hospital to Home: Psychosocial Adaptation and Adjustment in Parents of Infants With Single Ventricle Heart Conditions	Aims: The study presented here retrospectively explored psychosocial adaptation and adjustment in parents going home for the first time with their infants following first stage cardiac surgery for single ventricle heart condition.  Methods: Parents, all members of Little Hearts Matter (LHM, a UK Congenital Heart Disease Charity) completed an online questionnaire which asked about family demographics, time of diagnosis, location of specialist heart centre, distance from home, discharge information, social support, parents’ feelings about going home, confidence and anxiety at the time of discharge (T0) and at the time of completing the questionnaire (T1). A non-experimental survey design was used; the questionnaire was structured so that both parents could answer the questions independently. 62 families with infants aged between 0-2 years were sent an email via LHM inviting them to complete the online questionnaire during Nov 2012. There were 22 responses (35% response rate) from 6 couples, 15 mothers and 1 father. Care had been received at 11 UK specialist cardiac centres and 1 in Australia.  Results: There were no statistically significant differences between demographic data (age, education, ethnicity, employment, living arrangements, household income) when compared against mother’s anxiety and confidence at T0 or T1; however mothers living > 100 miles away from the specialist cardiac centre were statistically significantly more anxious at discharge T0 (p = 0.025) than those living <20 miles away. Mothers whose infant had a hypoplastic left heart were statistically significantly more anxious at discharge than those whose infants had hypoplastic right heart (p=0.006) as were Fathers with a secondary school education compared to a Bachelor’s degree (p=0.031) at T0 and T1 (p=0.026). There was a statistically significant difference when comparing mothers’ anxiety levels at discharge T0 and T1 (p=<0.0005) and confidence scores at T0 and T1 (p=<0.0005) and Fathers’ anxiety levels at discharge T0 and T1 (p = <0.018).   Conclusion: This is the first study of its kind to explore parents’ psychosocial adaptation and adjustment during the transition from hospital to home following first stage cardiac surgery for single ventricle condition. The study provides new insights into transition for these parents. Implications for practice will be discussed.	employment
The Welsh Marches: Resilient Farmers? Exploring Farmers' Resilience to Extreme Weather Events in the Recent Past	In the 21st century climate change will cause a significant increase in the frequency and intensity of extreme weather events across Europe. Investigating farmers’ resilience to extreme weather events in the past can be used to establish the inherent level of resilience farmers’ will have to respond to comparable events  in  the  future.  The  Welsh  Marches  has  experienced  a  range  of  extreme  weather  events  including: heatwaves,  flooding;  prolonged  rainfall;  and  heavy  snowfall.  To  identify  the  resilience  of  farmers  in  the Marches  farmers’  apparent  vulnerabilities,  coping  capacity,  social  capital  and  adaptive  capacity  that  have been exposed in past events are discussed. Rural isolation is identified as an exacerbating factor of farming vulnerability. Yet, this is also an apparent source of resilience as farmers are found to rely on high social capital to  assist  each  other  in  emergency  and  challenging  situations  during  extreme  weather  events.  The  paper concludes by indicating that more localised studies are required, situated within unique farming cultures. This will enable a more complete picture of farmers’ resilience across Europe to be established.	climate change
The Influence of Geology and Season on Macroinvertebrates in Belizean Streams: Implications for Tropical Bioassessment	Considerable attention has been paid to the potentially confounding effects of geological and seasonal variation on outputs from bioassessments in temperate streams, but our understanding about these influences is limited for many tropical systems. We explored variation in macroinvertebrate assemblage composition and the environmental characteristics of 3rd- to 5th-order streams in a geologically heterogeneous tropical landscape in the wet and dry seasons. Study streams drained catchments with land cover ranging from predominantly forested to agricultural land, but data indicated that distinct water-chemistry and substratum conditions associated with predominantly calcareous and silicate geologies were key determinants of macroinvertebrate assemblage composition. Most notably, calcareous streams were characterized by a relatively abundant noninsect fauna, particularly a pachychilid gastropod snail. The association between geological variation and assemblage composition was apparent during both seasons, but significant temporal variation in compositional characteristics was detected only in calcareous streams, possibly because of limited statistical power to detect change at silicate sites, or the limited extent of our temporal data. We discuss the implications of our findings for tropical bioassessment programs. Our key findings suggest that geology can be an important determinant of macroinvertebrate assemblages in tropical streams and that geological heterogeneity may influence the scale of temporal response in characteristic macroinvertebrate assemblages.	land,water
Future Premature Mortality Due to O3, Secondary Inorganic Aerosols and Primary PM in Europe — Sensitivity to Changes in Climate, Anthropogenic Emissions, Population and Building Stock	Air pollution is an important environmental factor associated with health impacts in Europe and considerable resources are used to reduce exposure to air pollution through emission reductions. These reductions will have non-linear effects on exposure due, e.g., to interactions between climate and atmospheric chemistry. By using an integrated assessment model, we quantify the effect of changes in climate, emissions and population demography on exposure and health impacts in Europe. The sensitivity to the changes is assessed by investigating the differences between the decades 2000–2009, 2050–2059 and 2080–2089. We focus on the number of premature deaths related to atmospheric ozone, Secondary Inorganic Aerosols and primary PM. For the Nordic region we furthermore include a projection on how population exposure might develop due to changes in building stock with increased energy efficiency. Reductions in emissions cause a large significant decrease in mortality, while climate effects on chemistry and emissions only affects premature mortality by a few percent. Changes in population demography lead to a larger relative increase in chronic mortality than the relative increase in population. Finally, the projected changes in building stock and infiltration rates in the Nordic indicate that this factor may be very important for assessments of population exposure in the future.	energy
Why do Women Sue?	Statistics published by the National Health Service Litigation Authority relating to ten years of maternity claims provoke a sharp intake of breath. The total value of these claims over the first decade of the 21st  century was £3,117,649,888 (NHS Litigation Authority 2012). The United Kingdom is not the only country to witness an astronomical increase in the level of litigation relating to maternity services. As far afield as Saudi Arabia  (Henary et al 2012) and the United States (Berkowitz 2011), reports are being published of the demands on maternity budgets as a result of dissatisfaction with care received during pregnancy, labour and birth.  The papers referenced above attribute adverse outcomes to negligence, misdiagnosis, surgical blunders and inefficient administration. Berkowitz(2011:7) suggests that what is needed is wholesale and whole-hearted adoption of ‘…electronic fetal monitoring [EFM] certification for all staff working on their Labor and Delivery floor, protocols for managing common clinical scenarios, simulation  drills for dealing with uncommon dangerous events, and pre-procedure checklists’.  The NHS Litigation Authority (2012:5) recommends that Trusts ‘…engage with the risk management process at all levels; provide suitable learning and training;  ensure appropriate supervision and support; have in place up-to-date protocols and guidance with which staff are familiar; learn lessons from claims’.  It is relatively easy to ensure that staff are sent on fetal heart rate (FHR) training days (although whether use of EFM produces better outcomes has, of course, never been clearly demonstrated (Alfirevic et al 2013) and that protocols for managing events during labour and birth are drawn up and even put into practice. It’s uncertain, however, whether doing so will make the problem of  maternity litigation go away. There is something ‘rotten in the state of Denmark’ that is fuelling women’s dissatisfaction and which ‘the system’ has not been able  to get its head round.	women
Bipolar Disorder, Miscarriage, and Termination	OBJECTIVES:  To compare rates of bipolar episodes following miscarriage and termination with those occurring in the postpartum period.  METHODS:  Information in relation to pregnancy and childbirth was gathered retrospectively for 1,283 women with broadly defined bipolar disorder by interview and case-notes review.  RESULTS:  Rates of mania or affective psychosis were significantly higher after full-term delivery than after termination (p < 0.001) or miscarriage (p < 0.001). Rates of non-psychotic major depression were similar following full-term deliveries, miscarriages (p = 0.362), and terminations (p = 0.301).  CONCLUSIONS:  While women with bipolar disorder and their clinicians should be aware of the possible onset of depression in the weeks following miscarriage or termination, episodes of mania or affective psychosis are less common in comparison with the high rates observed in the postpartum period.	women
Understanding Emissions of Ammonia from Buildings and Application of Fertilizers: An Example from Poland	A Europe-wide dynamic ammonia (NH3) emissions model has been applied for one of the large agricultural countries in Europe, and its sensitivity on the distribution of emissions among different agricultural functions was analyzed by comparing with observed ammonia concentrations and by implementing all scenarios in a CTM model.  The results suggest that the dynamic emission model is most sensitive to emission from animal manure, in particular how this is connected to national regulations. In contrast, the model is most robust with respect to emission from buildings and storage. To do this, we obtained activity information on agricultural operations at the sub-national level for Poland, information about infrastructure on storages and current regulations on manure practice from Polish authorities. The information was implemented in the existing emission model and was connected directly with the NWP calculations from the Weather Research and Forecasting model (WRF-ARW). The model was used to calculate four emission scenarios with high spatial (5 km x 5 km) and temporal resolution (3h) for the entire year 2010. In the four scenarios, we have compared the European-wide default model settings against: 1) a scenario that focuses on emission from agricultural buildings, 2) the existing emission method used in WRF-Chem in Poland, and 3) a scenario that takes into account Polish infrastructure and agricultural regulations. The ammonia emission was implemented into the chemical transport model FRAME and modelled ammonia concentrations was compared with measurements. The results suggest that the default setting in the dynamic model is an improvement compared to a non-dynamical emission profile. The results also show that further improvements can be obtained on the national scale by replacing the default information on manure practice with information that is connected with local practice and national regulations. Implementing a dynamical approach for simulation of ammonia emission is a viable objective for all CTM models that continue to use fixed emission profiles.  Such models should handle ammonia emissions in a similar way to other climate dependent emissions (e.g. Biogenic Volatile Organic Compounds). Our results, compared with previous results from the DEHM and the GEOS-CHEM models, suggest that implementing dynamical approaches improves simulations in general even in areas with limited information about location of the agricultural fields, livestock and agricultural production methods such as Poland.	infrastructure
Quantifying Submerged Fluvial Topography Using Hyperspatial Resolution UAS Imagery and Structure From Motion Photogrammetry.	Quantifying the topography of rivers and their associated bedforms has been a fundamental concern of fluvial geomorphology for decades. Such data, acquired at high temporal and spatial resolutions, are increasingly in demand for process-oriented investigations of flow hydraulics, sediment dynamics and in-stream habitat. In these riverine environments, the most challenging region for topographic measurement is the wetted, submerged channel. Generally, dry bed topography and submerged bathymetry are measured using different methods and technology. This adds to the costs, logistical challenges and data processing requirements of comprehensive river surveys. However, some technologies are capable of measuring the submerged topography. Through-water photogrammetry and bathymetric LiDAR are capable of reasonably accurate measurements of channel beds in clear water. Whilst the cost of bathymetric LiDAR remains high and its resolution relatively coarse, the recent developments in photogrammetry using Structure from Motion (SfM) algorithms promise a fundamental shift in the accessibility of topographic data for a wide range of settings. Here we present results demonstrating the potential of so called SfM-photogrammetry for quantifying both exposed and submerged fluvial topography at the mesohabitat scale. We show that imagery acquired from a rotary-winged Unmanned Aerial System (UAS) can be processed in order to produce digital elevation models (DEMs) with hyperspatial resolutions (c. 0.02 m) for two different river systems over channel lengths of 50-100 m. Errors in submerged areas range from 0.016 m to 0.089 m, which can be reduced to between 0.008 m and 0.053 m with the application of a simple refraction correction. This work therefore demonstrates the potential of UAS platforms and SfM-photogrammetry as a single technique for surveying fluvial topography at the mesoscale (defined as lengths of channel from c.10 m to a few hundred metres). This article is protected by copyright. All rights reserved.	water
Using Dietary Analysis and Habitat Selection to Inform Conservation Management of Reintroduced Great Bustards Otis tarda in an Agricultural Landscape	Capsule: Reintroduced Great Bustards achieve dietary and habitat diversity despite living in an intensive  agricultural setting.  Aims: To investigate dietary composition and habitat use of reintroduced Great Bustards Otis tarda released  in southwest England and the impact of supplemental feed on autumn dietary selection.  Methods: Faecal samples were collected from a mixed group of free-ranging bustards without (July 2012,  May, September, and November 2013) and with (October and December 2012) access to supplemental  feeds. Concurrently, diurnal land use observations were recorded for all months but September and  December. Composite monthly faecal samples were micro-histologically analysed to assess dietary  composition. Year-round landscape-level habitat use was determined using re-sightings and satellite  telemetry data for birds surviving more than 182 days post-release. Generalized linear models were  used to test for differences in habitat selection across the year, by sex and within and outside release  areas for each habitat type, and habitat diversity was quantified using the Shannon–Weaver Index.  Results: Dietary composition varied depending on plant availability and phenological stage, and  invertebrates were rarely selected. Agricultural crops – primarily oil-seed rape, mustard, barley grass,  lucerne, and barley seed – comprised the bulk of the diet, but grassland and weedy forbs were always  important secondary foods (>25%), except when provided extruded pellets. Monthly changes in habitat  use suggest sex-based habitat segregation, with females living in higher habitat diversity settings.  Grasslands were used across the year. When supplemental food was provided, it came to dominate  dietary intake.  Conclusion: Great Bustards can adapt to an intensive agricultural setting, but require unrestricted access to  adjacent grasslands. They would be best served with small-scale habitat mosaics. If supplemental foods are  to be provided to juvenile birds, quantities must be limited and the birds weaned off before dispersal to  maximize reintroduction success.	land
Inter-professional Learning: Innovation in Teaching and Learning for Pre-registration Student Nurses and Midwives	A requirement for all health care professionals is to work collaboratively in the provision of safe and effective care. However despite this students are not routinely involved in inter-professional learning, and are often taught in isolation within professional groupings.  There is added value in inter-professional teaching and learning- evident from a resource that was developed by lecturers in nursing and midwifery.  This was piloted live on an audience of pre registration nursing and midwifery students, as an mock fitness for practice hearing. Inter-professional group activities provided reflection, debate and discussion with students voting on sanctions and taking part in the panel summary and close.  Feedback from both lecturers/participants (n=8) and students (n=31) indicated this was a highly valued experience.  It is an innovative inter-professional learning resource, in pre-registration education for students in nursing and midwifery and will extend to post registration health care education.	innovation
The Contribution of Academic Scholarship to Management Development.	Purpose: This paper explores the impact of academic scholarship on the development and practice of experienced managers.    Design / Methodology: Semi-structured interviews with experienced managers, modelled on the critical incident technique. ‘Intertextuality’ and framework analysis technique are used to examine whether the use of academic scholarship is a sub-conscious phenomenon.    Findings: Experienced managers make little direct use of academic scholarship, using it only occasionally to provide retrospective confirmation of decisions or a technique they can apply. However, academic scholarship informs their practice in an indirect way, their understanding of the ‘gist’ of scholarship comprising one of many sources which they synthesise and evaluate as part of their development process.     Practical implications: Managers and management development practitioners should focus upon developing skills of synthesising the ‘gist’ of academic scholarship with other sources of data, rather than upon the detailed remembering, understanding and application of specific scholarship, and upon finding / providing the time and space for that ‘gisting’ and synthesis to take place.     Originality / Value: The paper addresses contemporary concerns about the appropriateness of the material delivered on management education programmes for management development. It is original in doing this from the perspective of experienced managers, and in using intertextual analysis to reveal not only the direct but also the indirect uses of they make of such scholarship.  The finding of the importance of understanding the ‘gist’ rather than the detail of academic theory represents a key conceptual innovation.	innovation
An Analysis of Local Wind and Air Mass Directions and Their Impact on Cladosporium Distribution Using HYSPLIT and Circular Statistics	Ecological studies that examine species-environment relationships are often limited to several meteorological parameters, i.e. mean air temperature, relative humidity, precipitation, vapour pressure deficit and solar radiation. The impact of local wind, its speed and direction are less commonly investigated in aerobiological surveys mainly due to difficulties related to the employment of specific analytical tools and interpretation of their outputs. Identification of inoculum sources of economically important plant pathogens, as well as highly allergenic bioaerosols like Cladosporium species, has not been yet explored with remote sensing data and atmospheric models such as Hybrid Single Particle Lagrangian Integrated Trajectory (HYSPLIT). We, therefore, performed an analysis of 24 h intra-diurnal cycle of Cladosporium spp. spores from an urban site in connection with both the local wind direction and overall air mass direction computed by HYSPLIT. The observational method was a volumetric air sampler of the Hirst design with 1 h time resolution and corresponding optical detection of fungal spores with light microscopy. The atmospheric modelling was done using the on-line data set from GDAS with 1° resolution and circular statistical methods. Our results showed stronger, statistically significant correlation (p ≤ 0.05) between high Cladosporium spp. spore concentration and air mass direction compared to the local wind direction. This suggested that a large fraction of the investigated fungal spores had a regional origin and must be located more than a few kilometers away from the sampling point.	employment
